Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,117.52216339111328,120.77896265366289,116.79742449313153,119.7321357820316,6785700,2020.0,1.0,31.0,122.39841003417968,126.14283142089845,128.54801254272462,21.13717384376405,-3.265287320928053,-2.155948084682417,-1.1093392362456354,127.30810894063823,127.73687934875488,4.493459421397181,136.72379819154924,118.74996050596052,39.51796738974611,-2.9696253967326114,2.451691003683353,121.1189422607422,120.57315935929324,121.65578282533622,118.91792598123656
2020-02-03,116.1084976196289,119.14161562151425,115.6879756668003,117.60268712444439,4385300,2020.0,2.0,3.0,120.78253479003908,124.75690383911132,127.73687934875488,17.60240375317541,-3.682980545955687,-2.4613545769370715,-1.221625969018615,126.59517613908298,126.94790954589844,5.07403736555396,137.09598427700635,116.79983481479051,38.75471759422379,-1.2028929103182873,2.6171460140098444,117.52216339111328,119.7321357820316,120.77896265366287,116.79742449313152
2020-02-04,119.45475769042969,120.59106252807887,118.7121341289691,118.99845274889651,3501600,2020.0,2.0,4.0,119.71602172851564,123.14550476074218,126.94790954589844,28.564124693658428,-3.7013236591077,-2.7093483933711973,-0.9919752657365032,126.24979038446357,126.33069534301758,5.202054362386957,136.7348040677915,115.92658661824366,39.27307418592992,2.8820113423249305,2.831344856523856,116.1084976196289,117.6026871244444,119.14161562151423,115.6879756668003
2020-02-05,122.97103118896484,122.99787185222894,121.18158082510313,121.28000114121244,4448100,2020.0,2.0,5.0,119.13802642822266,122.04141387939453,126.33069534301758,38.58292643886048,-3.393014267430757,-2.8460815681831098,-0.5469326992476478,126.05998843705515,125.97636756896972,5.176122726070837,136.32861302111138,115.62412211682803,39.96756137668825,2.9436027216661165,2.9866896642815783,119.45475769042967,118.99845274889653,120.59106252807888,118.7121341289691
2020-02-06,122.801025390625,123.7673301795304,121.79893760320701,123.65101154262577,2283800,2020.0,2.0,6.0,119.43507843017578,121.57705459594726,125.97636756896972,33.505399583239466,-3.126356212082129,-2.902136496962913,-0.2242197151192155,125.96592210490392,125.55578727722168,5.068889986779681,135.69356725078103,115.41800730366232,39.77845936792296,-0.1382486563673679,2.977516976032839,122.97103118896484,121.28000114121244,122.99787185222894,121.18158082510313
2020-02-07,119.3294906616211,122.12104245478957,118.99844671997234,121.71840520936293,3812300,2020.0,2.0,7.0,119.77149505615236,121.08495254516602,125.55578727722168,27.49147228175235,-3.158739637560487,-2.953457125082428,-0.2052825124780586,125.6608645831312,124.97806549072266,5.088075440803119,135.1542163723289,114.80191460911642,38.86105389072302,-2.826959072989088,3.142401921124069,122.801025390625,123.65101154262577,123.7673301795304,121.798937603207
2020-02-10,120.17951202392578,120.18845436228915,118.80162738016865,119.03425104944097,2331600,2020.0,2.0,10.0,120.13296051025392,120.45774765014647,124.97806549072266,31.421339479325567,-3.080306262380361,-2.978826952542015,-0.1014793098383464,125.51097867619131,124.495267868042,5.060952904355769,134.61717367675354,114.37336205933045,38.847857225298384,0.7123313420611677,3.102139973941267,119.3294906616211,121.71840520936291,122.12104245478956,118.99844671997234
2020-02-11,121.8526382446289,122.78314653011415,120.84159430798417,121.2263332782038,2381900,2020.0,2.0,11.0,120.94716339111328,120.33159255981444,124.495267868042,39.1510641433717,-2.8502836486945,-2.953118291772512,0.1028346430780118,125.4115615577342,124.06547317504882,4.8909115951349085,133.84729636531864,114.283649984779,39.320560373542975,1.392189228035834,3.029922239243305,120.17951202392578,119.03425104944095,120.18845436228916,118.80162738016864
2020-02-12,124.89469146728516,125.20785075847417,123.55260362348689,123.82996626015077,3222000,2020.0,2.0,12.0,121.42673950195312,120.28238296508788,124.06547317504882,45.20627578204735,-2.3949137239287666,-2.841477378203763,0.4465636542749962,125.39323494898017,123.79400291442872,4.6709777019626735,133.13595831835406,114.45204751050338,40.044195833672944,2.4965017306798787,3.051650506496564,121.8526382446289,121.2263332782038,122.78314653011417,120.84159430798417
2020-02-13,125.0110092163086,125.708893797868,123.85680603359026,125.26153118648769,3318800,2020.0,2.0,13.0,121.81147155761718,120.62327499389647,123.79400291442872,48.92576059458586,-2.00157104250728,-2.673496111064466,0.6719250685571865,125.379767120103,123.57765655517578,4.497674323238126,132.57300520165202,114.58230790869952,40.12430337179024,0.0931326605293714,2.9608990691340216,124.89469146728516,123.82996626015075,125.20785075847417,123.55260362348687
