Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,40.889732360839844,41.33399847639219,40.724223344598904,41.30786302529626,23080400,2020.0,1.0,31.0,41.32877197265625,41.93244705200196,43.64591388702392,19.91345048307919,-1.3759017911621,-1.2298584620795654,-0.1460433290825347,43.242978213312064,43.34930210113525,2.064319369987543,47.47794084111034,39.22066336116016,13.749569131343137,-2.0246326882776837,0.9302178057833476,41.73470687866211,41.09008668999813,41.76955193167252,40.97684525222503
2020-02-03,41.04653549194336,41.569201362093985,40.96813577757114,41.15107065977794,15471100,2020.0,2.0,3.0,41.21901245117188,41.73122177124024,43.34930210113525,22.369949933367337,-1.3590009397285243,-1.2556869576093572,-0.103313982119167,43.17499446355375,43.074903869628905,1.9817354781203096,47.038374825869525,39.111432913388285,13.70052083890389,0.3834780079257305,0.9370626030987778,40.88973236083984,41.30786302529626,41.33399847639219,40.7242233445989
2020-02-04,41.168487548828125,41.67373086258408,41.159777946835575,41.55177649664498,14973300,2020.0,2.0,4.0,41.22249755859375,41.551774978637695,43.074903869628905,33.962294031093194,-1.3205439725036785,-1.2686583605882216,-0.0518856119154567,43.11663603081086,42.82054080963135,1.875617404549708,46.57177561873076,39.06930600053193,13.534940733107298,0.2971068213752259,0.8039078461619538,41.04653549194336,41.15107065977794,41.56920136209399,40.96813577757114
2020-02-05,42.0831413269043,42.16154101709543,41.62145278555368,41.72598792114612,20141800,2020.0,2.0,5.0,41.20333251953125,41.40542869567871,42.82054080963135,49.9222242502336,-1.2024011016689755,-1.2554069088043724,0.0530058071353969,43.07772393925734,42.63107471466064,1.7373975070645238,46.10586972878969,39.15627970053159,13.67769724011088,2.221732768276574,0.7927068537855655,41.168487548828125,41.55177649664498,41.67373086258408,41.159777946835575
2020-02-06,42.24162292480469,42.69943166734631,42.12716989955379,42.646606419123906,18259200,2020.0,2.0,6.0,41.38452072143555,41.383650588989255,42.63107471466064,43.32908412960945,-1.083494040052365,-1.2210243350539711,0.1375302950016061,43.050128162454094,42.442563438415526,1.5451752323916936,45.53291390319891,39.35221297363214,13.683164906844056,0.3765916538152281,0.7446392408144601,42.0831413269043,41.72598792114612,42.16154101709543,41.62145278555368
2020-02-07,42.11835861206055,42.25922255289843,41.80141390556001,42.02151402302302,13174600,2020.0,2.0,7.0,41.48590393066407,41.40733795166015,42.442563438415526,42.79063041120392,-0.987818776952814,-1.1743832234337397,0.1865644464809257,43.02845477235007,42.25180931091309,1.3089751358983794,44.86975958270985,39.63385903911633,13.716339479344658,-0.2918077105218408,0.7219624305820521,42.24162292480469,42.64660641912391,42.69943166734631,42.12716989955379
2020-02-10,42.056739807128906,42.1359760006336,41.74859756196087,41.968697726311476,18124800,2020.0,2.0,10.0,41.7316291809082,41.47532081604004,42.25180931091309,44.08756124644755,-0.9065177914197662,-1.1208101370309451,0.2142923456111789,42.99832379739587,42.06799201965332,1.0207812687908475,44.109554557235015,40.02642948207162,13.594781638517563,-0.1462991601814178,0.6824325616850524,42.11835861206055,42.02151402302302,42.25922255289843,41.80141390556001
2020-02-11,42.250423431396484,42.558562277296836,42.20640071758655,42.32965961440822,13686100,2020.0,2.0,11.0,41.93367004394531,41.57808380126953,42.06799201965332,49.465853005071125,-0.8170392054745861,-1.0600559507196734,0.2430167452450873,42.98121288952373,41.910845565795896,0.6601137164905705,43.23107299877704,40.590618132814754,13.633765745857444,0.460529335264237,0.6684995693138818,42.056739807128906,41.96869772631148,42.1359760006336,41.74859756196087
2020-02-12,42.07434844970703,42.69062958489751,42.047934146088664,42.45292100310424,16668100,2020.0,2.0,12.0,42.15005722045898,41.67669486999512,41.910845565795896,50.755368310881366,-0.751669779635499,-0.9983787165028386,0.2467089368673396,42.956629451286496,41.86728572845459,0.6154772617073263,43.09824025186924,40.63633120503994,13.490032515397871,-0.4167413421911625,0.6783178090849411,42.25042343139648,42.32965961440822,42.55856227729684,42.20640071758655
2020-02-13,42.3648796081543,42.41770485778483,41.86305149128142,41.92467926995268,12530000,2020.0,2.0,13.0,42.14829864501953,41.766409683227536,41.86728572845459,60.69371747346134,-0.6687121053881668,-0.9324453942799042,0.2637332888917374,42.94481149943788,41.88093700408936,0.6236933501338564,43.128323704357065,40.63355030382164,13.597692654137807,0.6905184967856304,0.6532251721065576,42.07434844970703,42.45292100310424,42.69062958489751,42.04793414608866
