Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,29.805866241455078,30.11717993668793,29.512345584094305,29.788079989638632,16887900,2020.0,1.0,31.0,30.501423263549803,31.90232639312744,33.667019557952884,12.559275422118247,-1.4768273589764576,-1.0602417634083856,-0.4165855955680719,33.39341655443304,33.37082872390747,2.301201028805704,37.97323078151888,28.768426666296065,10.02251163666056,-1.557009699749612,0.9955632253697502,30.277286529541016,29.47676939255029,30.312865822969087,29.35224525858021
2020-02-03,29.76139259338379,29.974864929646824,29.521237487473254,29.74360294927623,9202500,2020.0,2.0,3.0,30.09938735961914,31.43357982635498,33.37082872390747,13.43476711695098,-1.5182481570778634,-1.1518430421422812,-0.3664051149355822,33.27027643670925,33.055069541931154,2.3432757065625798,37.74162095505631,28.368518128805995,9.933763581593562,-0.1492110570147864,0.9726915570841622,29.80586624145508,29.788079989638632,30.11717993668793,29.512345584094305
2020-02-04,30.303964614868164,30.89100929349883,30.197230144124674,30.446278373535364,12373600,2020.0,2.0,4.0,30.010442352294923,30.996853256225585,33.055069541931154,16.70736200827261,-1.4901162774425742,-1.21949768920234,-0.2706185882402343,33.14094689771855,32.75487604141235,2.2885717745696,37.33201959055155,28.17773249227315,9.963017576342729,1.8230733652060185,0.9809509005125694,29.76139259338379,29.74360294927623,29.974864929646824,29.52123748747325
2020-02-05,31.193422317504883,31.718204869179175,30.89100519631924,30.92658447952395,11399900,2020.0,2.0,5.0,30.03001174926758,30.740688514709472,32.75487604141235,29.624971553420465,-1.3801403581169254,-1.251626222985257,-0.1285141351316683,33.06573870798936,32.50849494934082,2.169242308486683,36.84697956631419,28.17001033236745,10.138363555787697,2.935119922230633,0.993657461139089,30.303964614868164,30.446278373535364,30.89100929349883,30.197230144124678
2020-02-06,30.69532585144043,31.32684632102821,30.615274152085785,31.32684632102821,7980300,2020.0,2.0,6.0,30.268386459350587,30.59748497009277,32.50849494934082,23.67446832645288,-1.3179829843356856,-1.2648975752553429,-0.0530854090803427,33.00334514333474,32.29057664871216,2.1184206976671534,36.52741804404647,28.05373525337785,9.943017725484676,-1.5967996746061863,1.0063642050070514,31.193422317504883,30.92658447952395,31.71820486917917,30.89100519631924
2020-02-07,30.615278244018555,30.91769543833086,30.134971376722092,30.24170585911819,8582100,2020.0,2.0,7.0,30.35199432373047,30.426708793640135,32.29057664871216,24.646968258455644,-1.2606500022292124,-1.2640480606501168,0.0033980584209043,32.937607526538514,32.04864311218262,2.0117481576237703,36.07213942743016,28.02514679693508,9.9702258940667,-0.2607810968004997,0.9485489307044872,30.69532585144043,31.32684632102821,31.32684632102821,30.615274152085785
2020-02-10,30.553010940551758,30.57080058340516,30.07270415561966,30.348435137278795,7197400,2020.0,2.0,10.0,30.513876724243165,30.306632041931152,32.04864311218262,29.81366831901913,-1.2063318096618936,-1.252504810452472,0.0461730007905785,32.88379885223775,31.804930400848388,1.8712421041278329,35.54741460910405,28.062446192592724,9.876217558490652,-0.2033863712441075,0.8932745662591847,30.615278244018555,30.24170585911819,30.91769543833086,30.13497137672209
2020-02-11,30.950157165527344,31.004310966006937,30.571063346440138,30.82379370688028,8825600,2020.0,2.0,11.0,30.67220039367676,30.34132137298584,31.804930400848388,35.76665968779149,-1.1183462697930224,-1.2256731023205822,0.1073268325275598,32.83173594899894,31.60775899887085,1.731180169132098,35.07011933713505,28.14539866060665,9.987289080722093,1.2998595318423067,0.8797665153185277,30.55301094055176,30.348435137278795,30.57080058340516,30.07270415561966
2020-02-12,31.63612937927246,31.933989032621728,31.0855428271874,31.789573170037592,9094900,2020.0,2.0,12.0,30.801438903808595,30.415725326538087,31.60775899887085,43.959750799368976,-0.981945613018162,-1.1769276044600985,0.1949819914419361,32.79945781543584,31.431544303894043,1.5165934784723405,34.464731260838725,28.39835734694936,10.14329228408268,2.216377157881322,0.8795182418072659,30.950157165527344,30.82379370688028,31.004310966006937,30.571063346440138
2020-02-13,31.29314422607422,31.609056331118964,30.661326902277082,31.446588035529363,11718000,2020.0,2.0,13.0,30.88998031616211,30.57918338775635,31.431544303894043,45.71720301805252,-0.8912493771902206,-1.1197919590061227,0.2285425818159021,32.74882390080549,31.291547775268555,1.3811606341042193,34.05386904347699,28.52922650706012,10.044040282976804,-1.0841565005830334,0.8805314517867391,31.63612937927246,31.789573170037592,31.933989032621728,31.0855428271874
